subject,roll,reported_score,RDR
1,1,4,1
1,2,2,0
1,3,5,1
1,4,6,1
1,5,1,0
2,1,3,0
2,2,4,1
2,3,4,1
2,4,3,0
2,5,6,1
3,1,3,0
3,2,6,1
3,3,3,0
3,4,4,1
3,5,3,0
4,1,4,1
4,2,6,1
4,3,5,1
4,4,3,0
4,5,1,0
5,1,4,1
5,2,2,0
5,3,1,0
5,4,6,1
5,5,4,1
6,1,6,1
6,2,1,0
6,3,5,1
6,4,2,0
6,5,6,1
7,1,3,0
7,2,1,0
7,3,5,1
7,4,2,0
7,5,2,0
8,1,5,1
8,2,5,1
8,3,6,1
8,4,5,1
8,5,6,1
9,1,4,1
9,2,4,1
9,3,4,1
9,4,2,0
9,5,4,1
10,1,2,0
10,2,1,0
10,3,3,0
10,4,2,0
10,5,6,1
11,1,3,0
11,2,6,1
11,3,3,0
11,4,6,1
11,5,3,0
12,1,6,1
12,2,4,1
12,3,2,0
12,4,1,0
12,5,3,0
13,1,6,1
13,2,6,1
13,3,2,0
13,4,6,1
13,5,6,1
14,1,5,1
14,2,2,0
14,3,4,1
14,4,1,0
14,5,4,1
15,1,2,0
15,2,3,0
15,3,4,1
15,4,5,1
15,5,1,0
16,1,2,0
16,2,1,0
16,3,1,0
16,4,3,0
16,5,1,0
17,1,2,0
17,2,1,0
17,3,6,1
17,4,2,0
17,5,6,1
18,1,1,0
18,2,6,1
18,3,5,1
18,4,1,0
18,5,4,1
19,1,3,0
19,2,3,0
19,3,4,1
19,4,6,1
19,5,1,0
20,1,5,1
20,2,6,1
20,3,3,0
20,4,3,0
20,5,1,0
21,1,6,1
21,2,6,1
21,3,5,1
21,4,4,1
21,5,5,1
22,1,1,0
22,2,4,1
22,3,2,0
22,4,3,0
22,5,6,1
23,1,4,1
23,2,1,0
23,3,3,0
23,4,5,1
23,5,6,1
24,1,5,1
24,2,4,1
24,3,3,0
24,4,6,1
24,5,5,1
25,1,1,0
25,2,3,0
25,3,4,1
25,4,3,0
25,5,2,0
26,1,3,0
26,2,1,0
26,3,5,1
26,4,2,0
26,5,4,1
27,1,4,1
27,2,5,1
27,3,4,1
27,4,1,0
27,5,6,1
28,1,4,1
28,2,5,1
28,3,6,1
28,4,6,1
28,5,1,0
29,1,2,0
29,2,5,1
29,3,4,1
29,4,2,0
29,5,6,1
30,1,2,0
30,2,1,0
30,3,3,0
30,4,4,1
30,5,4,1
31,1,5,1
31,2,6,1
31,3,6,1
31,4,6,1
31,5,6,1
32,1,3,0
32,2,5,1
32,3,3,0
32,4,6,1
32,5,5,1
33,1,5,1
33,2,4,1
33,3,6,1
33,4,6,1
33,5,3,0
34,1,1,0
34,2,2,0
34,3,5,1
34,4,5,1
34,5,6,1
35,1,2,0
35,2,2,0
35,3,3,0
35,4,4,1
35,5,1,0
36,1,5,1
36,2,5,1
36,3,5,1
36,4,3,0
36,5,5,1
37,1,1,0
37,2,3,0
37,3,2,0
37,4,5,1
37,5,2,0
38,1,5,1
38,2,1,0
38,3,6,1
38,4,2,0
38,5,4,1
39,1,2,0
39,2,4,1
39,3,3,0
39,4,6,1
39,5,2,0
40,1,1,0
40,2,5,1
40,3,4,1
40,4,5,1
40,5,5,1
41,1,3,0
41,2,6,1
41,3,6,1
41,4,4,1
41,5,2,0
42,1,1,0
42,2,5,1
42,3,2,0
42,4,6,1
42,5,3,0
43,1,2,0
43,2,6,1
43,3,4,1
43,4,4,1
43,5,6,1
44,1,5,1
44,2,4,1
44,3,3,0
44,4,1,0
44,5,5,1
45,1,2,0
45,2,3,0
45,3,6,1
45,4,5,1
45,5,6,1
46,1,4,1
46,2,6,1
46,3,3,0
46,4,4,1
46,5,2,0
47,1,3,0
47,2,2,0
47,3,6,1
47,4,3,0
47,5,5,1
48,1,1,0
48,2,6,1
48,3,3,0
48,4,6,1
48,5,5,1
49,1,6,1
49,2,2,0
49,3,1,0
49,4,6,1
49,5,2,0
50,1,5,1
50,2,4,1
50,3,4,1
50,4,3,0
50,5,2,0
51,1,2,0
51,2,1,0
51,3,1,0
51,4,3,0
51,5,1,0
52,1,1,0
52,2,4,1
52,3,5,1
52,4,1,0
52,5,5,1
53,1,3,0
53,2,5,1
53,3,4,1
53,4,6,1
53,5,3,0
54,1,1,0
54,2,4,1
54,3,5,1
54,4,4,1
54,5,5,1
55,1,4,1
55,2,3,0
55,3,5,1
55,4,1,0
55,5,6,1
56,1,1,0
