subject,justification,pay,age,gender,anagram_score,donate_sweets,donate_number,like_sweets,lied,tempted_lie,fairness
1,unjustified,high,18,male,7,yes,4,yes,no,no,7
2,unjustified,low,20,male,5,no,0,yes,no,yes,5
3,justified,high,19,male,4,yes,1,yes,no,no,6
4,justified,low,19,male,3,yes,2,yes,yes,yes,4
5,unjustified,low,18,female,6,yes,12,no,no,no,10
6,unjustified,high,18,female,2,yes,5,yes,no,no,10
7,justified,high,19,female,3,no,0,yes,no,no,7
8,justified,low,19,male,3,no,0,yes,no,no,10
9,unjustified,low,18,female,4,yes,3,yes,no,yes,8
10,unjustified,high,19,male,11,no,0,yes,no,no,10
11,unjustified,high,18,male,4,no,0,yes,no,no,3
12,unjustified,low,19,female,3,no,0,yes,no,no,4
13,unjustified,low,18,female,5,no,0,yes,no,yes,3
14,unjustified,high,18,male,4,no,0,yes,yes,yes,1
15,unjustified,low,47,female,2,no,0,no,no,no,10
16,unjustified,high,29,male,4,yes,2,yes,no,no,7
17,justified,low,20,female,4,no,0,yes,no,no,10
18,justified,high,21,female,5,yes,2,yes,no,no,10
19,justified,high,19,female,6,yes,3,yes,no,no,10
20,justified,low,20,female,4,no,0,yes,no,yes,8
21,justified,low,20,male,4,no,0,no,no,yes,3
22,justified,high,21,female,4,no,0,yes,no,no,1
23,justified,low,20,female,5,no,0,no,no,no,4
24,justified,high,21,female,5,yes,6,yes,no,no,2
25,justified,high,18,female,8,yes,2,yes,no,no,5
26,justified,low,18,female,4,no,0,yes,no,no,7
27,justified,low,18,male,4,no,0,yes,no,no,8
28,justified,high,19,female,4,yes,7,yes,no,no,2
29,justified,low,19,female,4,no,0,yes,no,yes,8
30,justified,high,18,female,4,yes,2,yes,no,no,5
31,justified,high,20,male,7,no,0,yes,yes,yes,1
32,justified,low,18,male,3,no,0,yes,no,yes,5
33,justified,low,18,female,3,yes,2,yes,no,no,5
34,justified,high,18,female,6,yes,4,yes,no,no,7
35,justified,high,18,male,4,no,0,yes,no,yes,5
36,justified,low,18,male,5,no,0,yes,no,yes,1
37,unjustified,low,19,male,4,no,0,yes,no,yes,10
38,unjustified,high,18,male,5,yes,10,no,no,no,10
39,unjustified,high,20,male,2,yes,4,yes,no,no,5
40,unjustified,low,20,male,6,no,0,yes,yes,yes,1
