dyad,subject,roll,pips
2,2_a,1,2
2,2_a,2,2
2,2_a,3,5
2,2_a,4,5
2,2_a,5,3
2,2_a,6,6
2,2_a,7,4
2,2_a,8,5
2,2_a,9,4
2,2_a,10,2
2,2_a,11,6
2,2_a,12,6
2,2_b,1,1
2,2_b,2,4
2,2_b,3,4
2,2_b,4,2
2,2_b,5,6
2,2_b,6,3
2,2_b,7,6
2,2_b,8,3
2,2_b,9,5
2,2_b,10,3
2,2_b,11,5
2,2_b,12,3
3,3_a,1,2
3,3_a,2,6
3,3_a,3,4
3,3_a,4,1
3,3_a,5,5
3,3_a,6,4
3,3_a,7,1
3,3_a,8,3
3,3_a,9,3
3,3_a,10,6
3,3_a,11,3
3,3_a,12,5
3,3_b,1,1
3,3_b,2,6
3,3_b,3,5
3,3_b,4,6
3,3_b,5,1
3,3_b,6,4
3,3_b,7,2
3,3_b,8,3
3,3_b,9,1
3,3_b,10,2
3,3_b,11,2
3,3_b,12,1
4,4_a,1,1
4,4_a,2,6
4,4_a,3,5
4,4_a,4,2
4,4_a,5,2
4,4_a,6,2
4,4_a,7,5
4,4_a,8,5
4,4_a,9,4
4,4_a,10,6
4,4_a,11,5
4,4_a,12,3
4,4_b,1,4
4,4_b,2,5
4,4_b,3,5
4,4_b,4,1
4,4_b,5,5
4,4_b,6,5
4,4_b,7,5
4,4_b,8,5
4,4_b,9,3
4,4_b,10,6
4,4_b,11,6
4,4_b,12,5
5,5_a,1,5
5,5_a,2,6
5,5_a,3,2
5,5_a,4,2
5,5_a,5,2
5,5_a,6,4
5,5_a,7,3
5,5_a,8,4
5,5_a,9,6
5,5_a,10,1
5,5_a,11,6
5,5_a,12,6
5,5_b,1,2
5,5_b,2,5
5,5_b,3,6
5,5_b,4,5
5,5_b,5,6
5,5_b,6,3
5,5_b,7,3
5,5_b,8,2
5,5_b,9,5
5,5_b,10,4
5,5_b,11,1
5,5_b,12,5
6,6_a,1,5
6,6_a,2,1
6,6_a,3,4
6,6_a,4,4
6,6_a,5,3
6,6_a,6,3
6,6_a,7,1
6,6_a,8,2
6,6_a,9,5
6,6_a,10,4
6,6_a,11,5
6,6_a,12,5
6,6_b,1,1
6,6_b,2,5
6,6_b,3,6
6,6_b,4,3
6,6_b,5,6
6,6_b,6,5
6,6_b,7,6
6,6_b,8,2
6,6_b,9,5
6,6_b,10,6
6,6_b,11,5
6,6_b,12,5
7,7_a,1,6
7,7_a,2,6
7,7_a,3,3
7,7_a,4,4
7,7_a,5,4
7,7_a,6,1
7,7_a,7,4
7,7_a,8,1
7,7_a,9,5
7,7_a,10,6
7,7_a,11,5
7,7_a,12,4
7,7_b,1,2
7,7_b,2,4
7,7_b,3,6
7,7_b,4,5
7,7_b,5,6
7,7_b,6,3
7,7_b,7,1
7,7_b,8,6
7,7_b,9,4
7,7_b,10,3
7,7_b,11,3
7,7_b,12,2
9,9_a,1,5
9,9_a,2,5
9,9_a,3,6
9,9_a,4,3
9,9_a,5,5
9,9_a,6,3
9,9_a,7,6
9,9_a,8,2
9,9_a,9,4
9,9_a,10,6
9,9_a,11,4
9,9_a,12,5
9,9_b,1,6
9,9_b,2,5
9,9_b,3,6
9,9_b,4,4
9,9_b,5,6
9,9_b,6,3
9,9_b,7,2
9,9_b,8,4
9,9_b,9,4
9,9_b,10,5
9,9_b,11,4
9,9_b,12,6
11,11_a,1,5
11,11_a,2,2
11,11_a,3,4
11,11_a,4,1
11,11_a,5,5
11,11_a,6,2
11,11_a,7,3
11,11_a,8,3
11,11_a,9,1
11,11_a,10,4
11,11_a,11,6
11,11_a,12,5
11,11_b,1,4
11,11_b,2,6
11,11_b,3,4
11,11_b,4,5
11,11_b,5,3
11,11_b,6,5
11,11_b,7,5
11,11_b,8,6
11,11_b,9,3
11,11_b,10,2
11,11_b,11,6
11,11_b,12,4
13,13_a,1,3
13,13_a,2,3
13,13_a,3,5
13,13_a,4,3
13,13_a,5,4
13,13_a,6,1
13,13_a,7,1
13,13_a,8,3
13,13_a,9,5
13,13_a,10,3
13,13_a,11,2
13,13_a,12,5
13,13_b,1,2
13,13_b,2,5
13,13_b,3,5
13,13_b,4,1
13,13_b,5,6
13,13_b,6,4
13,13_b,7,6
13,13_b,8,NA
13,13_b,9,5
13,13_b,10,1
13,13_b,11,3
13,13_b,12,6
14,14_a,1,6
14,14_a,2,4
14,14_a,3,6
14,14_a,4,4
14,14_a,5,6
14,14_a,6,5
14,14_a,7,6
14,14_a,8,4
14,14_a,9,5
14,14_a,10,6
14,14_a,11,5
14,14_a,12,5
14,14_b,1,2
14,14_b,2,5
14,14_b,3,2
14,14_b,4,2
14,14_b,5,5
14,14_b,6,5
14,14_b,7,5
14,14_b,8,6
14,14_b,9,6
14,14_b,10,6
14,14_b,11,1
14,14_b,12,4
15,15_a,1,4
15,15_a,2,5
15,15_a,3,6
15,15_a,4,6
15,15_a,5,3
15,15_a,6,3
15,15_a,7,2
15,15_a,8,1
15,15_a,9,4
15,15_a,10,4
15,15_a,11,2
15,15_a,12,2
15,15_b,1,5
15,15_b,2,4
15,15_b,3,4
15,15_b,4,3
15,15_b,5,4
15,15_b,6,2
15,15_b,7,1
15,15_b,8,4
15,15_b,9,2
15,15_b,10,1
15,15_b,11,3
15,15_b,12,1
16,16_a,1,3
16,16_a,2,6
16,16_a,3,4
16,16_a,4,5
16,16_a,5,5
16,16_a,6,6
16,16_a,7,5
16,16_a,8,5
16,16_a,9,3
16,16_a,10,5
16,16_a,11,6
16,16_a,12,4
16,16_b,1,4
16,16_b,2,6
16,16_b,3,2
16,16_b,4,5
16,16_b,5,1
16,16_b,6,6
16,16_b,7,5
16,16_b,8,6
16,16_b,9,6
16,16_b,10,6
16,16_b,11,4
16,16_b,12,4
17,17_a,1,5
17,17_a,2,5
17,17_a,3,6
17,17_a,4,6
17,17_a,5,2
17,17_a,6,4
17,17_a,7,6
17,17_a,8,1
17,17_a,9,5
17,17_a,10,1
17,17_a,11,6
17,17_a,12,1
17,17_b,1,4
17,17_b,2,1
17,17_b,3,1
17,17_b,4,5
17,17_b,5,4
17,17_b,6,2
17,17_b,7,4
17,17_b,8,1
17,17_b,9,3
17,17_b,10,1
17,17_b,11,3
17,17_b,12,4
18,18_a,1,6
18,18_a,2,4
18,18_a,3,4
18,18_a,4,3
18,18_a,5,5
18,18_a,6,2
18,18_a,7,6
18,18_a,8,6
18,18_a,9,3
18,18_a,10,4
18,18_a,11,4
18,18_a,12,6
18,18_b,1,5
18,18_b,2,5
18,18_b,3,6
18,18_b,4,5
18,18_b,5,3
18,18_b,6,6
18,18_b,7,5
18,18_b,8,2
18,18_b,9,6
18,18_b,10,5
18,18_b,11,3
18,18_b,12,4
19,19_a,1,5
19,19_a,2,5
19,19_a,3,6
19,19_a,4,6
19,19_a,5,3
19,19_a,6,5
19,19_a,7,4
19,19_a,8,4
19,19_a,9,6
19,19_a,10,5
19,19_a,11,6
19,19_a,12,1
19,19_b,1,4
19,19_b,2,4
19,19_b,3,4
19,19_b,4,6
19,19_b,5,1
19,19_b,6,5
19,19_b,7,6
19,19_b,8,5
19,19_b,9,6
19,19_b,10,4
19,19_b,11,4
19,19_b,12,3
20,20_a,1,4
20,20_a,2,6
20,20_a,3,4
20,20_a,4,6
20,20_a,5,5
20,20_a,6,6
20,20_a,7,5
20,20_a,8,4
20,20_a,9,6
20,20_a,10,5
20,20_a,11,4
20,20_a,12,6
20,20_b,1,5
20,20_b,2,4
20,20_b,3,6
20,20_b,4,6
20,20_b,5,6
20,20_b,6,6
20,20_b,7,5
20,20_b,8,4
20,20_b,9,5
20,20_b,10,4
20,20_b,11,5
20,20_b,12,4
21,21_a,1,6
21,21_a,2,6
21,21_a,3,6
21,21_a,4,3
21,21_a,5,5
21,21_a,6,5
21,21_a,7,2
21,21_a,8,3
21,21_a,9,4
21,21_a,10,3
21,21_a,11,3
21,21_a,12,3
21,21_b,1,2
21,21_b,2,5
21,21_b,3,3
21,21_b,4,2
21,21_b,5,2
21,21_b,6,2
21,21_b,7,6
21,21_b,8,1
21,21_b,9,4
21,21_b,10,2
21,21_b,11,3
21,21_b,12,4
23,23_a,1,5
23,23_a,2,4
23,23_a,3,2
23,23_a,4,4
23,23_a,5,4
23,23_a,6,4
23,23_a,7,4
23,23_a,8,6
23,23_a,9,4
23,23_a,10,5
23,23_a,11,6
23,23_a,12,2
23,23_b,1,5
23,23_b,2,4
23,23_b,3,5
23,23_b,4,5
23,23_b,5,2
23,23_b,6,5
23,23_b,7,6
23,23_b,8,6
23,23_b,9,1
23,23_b,10,1
23,23_b,11,5
23,23_b,12,1
24,24_a,1,3
24,24_a,2,2
24,24_a,3,1
24,24_a,4,6
24,24_a,5,2
24,24_a,6,3
24,24_a,7,5
24,24_a,8,5
24,24_a,9,2
24,24_a,10,1
24,24_a,11,1
24,24_a,12,3
24,24_b,1,5
24,24_b,2,2
24,24_b,3,6
24,24_b,4,2
24,24_b,5,2
24,24_b,6,4
24,24_b,7,5
24,24_b,8,5
24,24_b,9,5
24,24_b,10,1
24,24_b,11,2
24,24_b,12,1
25,25_a,1,3
25,25_a,2,1
25,25_a,3,3
25,25_a,4,1
25,25_a,5,5
25,25_a,6,4
25,25_a,7,5
25,25_a,8,3
25,25_a,9,6
25,25_a,10,6
25,25_a,11,3
25,25_a,12,1
25,25_b,1,1
25,25_b,2,5
25,25_b,3,6
25,25_b,4,2
25,25_b,5,2
25,25_b,6,5
25,25_b,7,1
25,25_b,8,1
25,25_b,9,5
25,25_b,10,6
25,25_b,11,3
25,25_b,12,5
26,26_a,1,5
26,26_a,2,1
26,26_a,3,5
26,26_a,4,6
26,26_a,5,3
26,26_a,6,4
26,26_a,7,6
26,26_a,8,5
26,26_a,9,5
26,26_a,10,1
26,26_a,11,6
26,26_a,12,1
26,26_b,1,1
26,26_b,2,6
26,26_b,3,2
26,26_b,4,4
26,26_b,5,3
26,26_b,6,6
26,26_b,7,4
26,26_b,8,4
26,26_b,9,4
26,26_b,10,1
26,26_b,11,6
26,26_b,12,3
27,27_a,1,1
27,27_a,2,2
27,27_a,3,5
27,27_a,4,6
27,27_a,5,2
27,27_a,6,5
27,27_a,7,2
27,27_a,8,6
27,27_a,9,3
27,27_a,10,4
27,27_a,11,4
27,27_a,12,5
27,27_b,1,4
27,27_b,2,4
27,27_b,3,1
27,27_b,4,5
27,27_b,5,2
27,27_b,6,4
27,27_b,7,6
27,27_b,8,3
27,27_b,9,5
27,27_b,10,2
27,27_b,11,1
27,27_b,12,3
28,28_a,1,6
28,28_a,2,1
28,28_a,3,4
28,28_a,4,3
28,28_a,5,6
28,28_a,6,2
28,28_a,7,1
