dyad,subject,procedure,outcome,quiz_actual,quiz_official,pay_rate,valence,fair,cheated,tempted_cheat,age,gender
2,2_a,fair,unequal,winner,winner,10,good,yes,no,3,20,male
2,2_b,fair,unequal,loser,loser,5,bad,no,no,3,22,male
3,3_a,fair,equal,winner,equal,5,good,no,no,2,18,female
3,3_b,fair,equal,loser,equal,5,good,no,no,1,20,female
4,4_a,unfair,unequal,loser,loser,10,good,no,no,2,23,female
4,4_b,unfair,unequal,winner,winner,5,bad,no,no,5,21,female
5,5_a,unfair,equal,loser,loser,5,good,no,yes,5,20,female
5,5_b,unfair,equal,winner,winner,5,bad,yes,no,0,22,female
6,6_a,fair,unequal,winner,winner,10,good,yes,no,3,23,male
6,6_b,fair,unequal,loser,loser,5,bad,yes,no,1,20,female
7,7_a,fair,equal,loser,equal,5,good,yes,no,3,21,female
7,7_b,fair,equal,winner,equal,5,good,yes,no,2,20,male
9,9_a,unfair,unequal,loser,loser,10,good,NA,NA,NA,NA,NA
9,9_b,unfair,unequal,winner,winner,5,bad,no,no,4,22,female
11,11_a,unfair,equal,loser,loser,5,good,no,no,0,20,female
11,11_b,unfair,equal,winner,winner,5,bad,yes,yes,5,21,male
13,13_a,fair,equal,loser,equal,5,good,yes,no,1,21,female
13,13_b,fair,equal,winner,equal,5,good,yes,no,3,19,female
14,14_a,unfair,unequal,winner,winner,5,bad,no,no,2,20,female
14,14_b,unfair,unequal,loser,loser,10,good,yes,no,3,20,female
15,15_a,unfair,equal,winner,winner,5,bad,yes,no,2,29,male
15,15_b,unfair,equal,loser,loser,5,good,no,no,4,20,female
16,16_a,fair,unequal,winner,winner,10,good,no,yes,4,21,female
16,16_b,fair,unequal,loser,loser,5,bad,no,no,2,21,female
17,17_a,fair,equal,loser,equal,5,good,yes,no,0,22,female
17,17_b,fair,equal,winner,equal,5,good,yes,no,1,21,male
18,18_a,unfair,unequal,loser,loser,10,good,no,yes,4,20,female
18,18_b,unfair,unequal,winner,winner,5,bad,no,yes,5,22,male
19,19_a,unfair,equal,winner,winner,5,bad,no,yes,5,22,female
19,19_b,unfair,equal,loser,loser,5,good,no,yes,3,21,female
20,20_a,fair,unequal,winner,winner,10,good,no,no,5,21,male
20,20_b,fair,unequal,loser,loser,5,bad,no,yes,4,22,male
21,21_a,fair,equal,loser,equal,5,good,yes,no,2,22,female
21,21_b,fair,equal,winner,equal,5,good,yes,no,4,19,female
23,23_a,unfair,unequal,loser,loser,10,good,yes,no,4,21,male
23,23_b,unfair,unequal,winner,winner,5,bad,yes,no,2,NA,NA
24,24_a,unfair,unequal,winner,winner,5,bad,yes,yes,1,21,male
24,24_b,unfair,unequal,loser,loser,10,good,no,no,1,21,female
25,25_a,unfair,equal,loser,loser,5,good,no,no,3,25,female
25,25_b,unfair,equal,winner,winner,5,bad,yes,no,1,22,female
26,26_a,fair,unequal,loser,loser,5,bad,no,no,2,21,male
26,26_b,fair,unequal,winner,winner,10,good,yes,no,2,19,male
27,27_a,fair,equal,winner,equal,5,good,yes,no,1,20,female
27,27_b,fair,equal,loser,equal,5,good,no,no,1,39,female
28,28_a,unfair,equal,loser,loser,5,good,yes,no,4,19,female
28,28_b,unfair,equal,winner,winner,5,bad,yes,no,1,19,female
29,29_a,fair,unequal,winner,winner,10,good,yes,no,1,21,female
29,29_b,fair,unequal,loser,loser,5,bad,yes,no,2,26,male
30,30_a,fair,equal,winner,equal,5,good,no,no,4,18,male
30,30_b,fair,equal,loser,equal,5,good,yes,yes,4,20,female
31,31_a,fair,equal,equal,equal,5,good,yes,no,1,19,male
31,31_b,fair,equal,equal,equal,5,good,yes,no,5,19,male
32,32_a,unfair,unequal,loser,loser,10,good,no,no,2,23,female
32,32_b,unfair,unequal,winner,winner,5,bad,yes,no,4,18,female
33,33_a,unfair,equal,loser,loser,5,good,yes,no,5,28,female
33,33_b,unfair,equal,winner,winner,5,bad,yes,no,2,18,female
34,34_a,unfair,equal,loser,loser,5,good,no,no,2,22,female
34,34_b,unfair,equal,winner,winner,5,bad,yes,no,2,19,female
35,35_a,fair,unequal,winner,winner,10,good,yes,yes,4,24,female
35,35_b,fair,unequal,loser,loser,5,bad,yes,no,2,21,female
36,36_a,unfair,unequal,winner,winner,5,bad,no,yes,4,20,male
36,36_b,unfair,unequal,loser,loser,10,good,yes,no,5,23,female
37,37_a,fair,unequal,winner,winner,10,good,yes,no,3,22,female
37,37_b,fair,unequal,loser,loser,5,bad,no,no,2,20,female
38,38_a,fair,equal,loser,equal,5,good,yes,no,4,20,female
38,38_b,fair,equal,winner,equal,5,good,yes,yes,5,19,female
39,39_a,unfair,unequal,winner,winner,5,bad,no,yes,5,21,male
39,39_b,unfair,unequal,loser,loser,10,good,yes,no,5,21,female
40,40_a,unfair,equal,winner,winner,5,bad,yes,no,3,19,male
40,40_b,unfair,equal,loser,loser,5,good,no,yes,5,NA,NA
41,41_a,fair,unequal,loser,loser,5,bad,no,yes,3,20,female
41,41_b,fair,unequal,winner,winner,10,good,no,no,0,21,female
42,42_a,fair,equal,winner,equal,5,good,yes,no,2,21,female
42,42_b,fair,equal,loser,equal,5,good,yes,no,2,21,male
43,43_a,unfair,unequal,loser,loser,10,good,no,no,1,22,male
43,43_b,unfair,unequal,winner,winner,5,bad,no,no,2,20,male
44,44_a,unfair,equal,winner,winner,5,bad,yes,no,3,19,female
44,44_b,unfair,equal,loser,loser,5,good,yes,no,1,21,female
45,45_a,fair,unequal,winner,winner,10,good,no,no,0,21,female
45,45_b,fair,unequal,loser,loser,5,bad,yes,no,1,20,female
46,46_a,fair,equal,winner,equal,5,good,yes,no,1,21,female
46,46_b,fair,equal,loser,equal,5,good,no,yes,4,22,female
47,47_a,unfair,unequal,winner,winner,5,bad,no,yes,4,20,female
47,47_b,unfair,unequal,loser,loser,10,good,no,yes,3,19,female
48,48_a,fair,equal,equal,equal,5,good,no,no,3,20,female
48,48_b,fair,equal,equal,equal,5,good,no,yes,4,19,female
49,49_a,unfair,unequal,loser,loser,10,good,no,no,1,20,female
49,49_b,unfair,unequal,winner,winner,5,bad,no,no,1,25,female
50,50_a,fair,unequal,loser,loser,5,bad,no,no,3,21,male
50,50_b,fair,unequal,winner,winner,10,good,no,no,1,22,female
51,51_a,unfair,unequal,winner,winner,5,bad,yes,no,3,18,male
51,51_b,unfair,unequal,loser,loser,10,good,no,no,5,21,female
52,52_a,unfair,unequal,loser,loser,10,good,no,no,1,20,male
52,52_b,unfair,unequal,winner,winner,5,bad,no,no,1,20,female
53,53_a,fair,equal,loser,equal,5,good,yes,no,3,22,male
53,53_b,fair,equal,winner,equal,5,good,yes,no,3,20,female
54,54_a,unfair,equal,loser,loser,5,good,yes,no,4,19,male
54,54_b,unfair,equal,winner,winner,5,bad,yes,no,3,18,female
55,55_a,fair,equal,winner,equal,5,good,yes,no,2,23,male
55,55_b,fair,equal,loser,equal,5,good,yes,no,4,20,female
56,56_a,unfair,equal,winner,winner,5,bad,yes,no,1,21,female
56,56_b,unfair,equal,loser,loser,5,good,yes,no,1,26,male
57,57_a,fair,unequal,winner,winner,10,good,no,yes,5,21,female
57,57_b,fair,unequal,loser,loser,5,bad,no,no,1,21,female
58,58_a,fair,unequal,loser,loser,5,bad,no,no,0,21,male
58,58_b,fair,unequal,winner,winner,10,good,yes,no,1,20,female
59,59_a,unfair,unequal,winner,winner,5,bad,no,no,1,25,female
59,59_b,unfair,unequal,loser,loser,10,good,no,yes,4,22,male
60,60_a,unfair,equal,loser,loser,5,good,yes,no,1,19,female
60,60_b,unfair,equal,winner,winner,5,bad,yes,no,1,21,female
61,61_a,unfair,unequal,winner,winner,5,bad,yes,no,3,21,male
61,61_b,unfair,unequal,loser,loser,10,good,yes,yes,5,21,male
62,62_a,unfair,equal,loser,loser,5,good,yes,no,0,20,female
62,62_b,unfair,equal,winner,winner,5,bad,yes,no,4,21,female
63,63_a,fair,unequal,loser,loser,5,bad,no,no,3,20,male
63,63_b,fair,unequal,winner,winner,10,good,no,no,1,29,male
64,64_a,fair,equal,winner,equal,5,good,yes,no,1,23,female
64,64_b,fair,equal,loser,equal,5,good,yes,no,1,24,male
65,65_a,unfair,unequal,loser,loser,10,good,no,no,3,20,female
65,65_b,unfair,unequal,winner,winner,5,bad,yes,no,1,23,female
66,66_a,unfair,equal,loser,loser,5,good,yes,no,5,19,female
66,66_b,unfair,equal,winner,winner,5,bad,yes,yes,2,21,female
67,67_a,fair,unequal,loser,loser,5,bad,no,no,0,20,female
